"question","answers"
"Viện nghiên cứu nâng cao và trường đại học nào khác thông đồng với nhau để có được vị trí Feynman?","Đại học Princeton"
"Ngoài Mexico, đồng đô la Tây Ban Nha còn ở đâu?","Peru"
"Ai đã bị nhắm đến bởi các luật hạn chế được thông qua ở các bang miền Nam vào cuối thế kỷ 19?","Người Mỹ gốc Phi"
"Tito tái đắc cử tổng thống Nam Tư lần thứ sáu vào năm nào?","1971"
"Bao nhiêu phần trăm cư dân Manhattan sở hữu một chiếc ô tô?","22%"
"Tài liệu nào gợi ý rằng các quận của quận được loại bỏ?","1971 Sách trắng của chính quyền địa phương"
"Sau khi thống nhất Carolingian, thuật ngữ Ashkenazi đã đề cập đến người Do Thái ở hai nơi nào?","Đức thời trung cổ và Pháp"
"Kể tên hai trong số những nền văn minh lâu đời nhất mà phê bình văn bản đã tập trung vào.","Mesopotamia và Ai Cập"
"Tất cả các loại động vật ăn thịt làm gì?","làm hại con mồi theo một cách nào đó"
"Tham dự tổ chức thế tục của giáo dục đại học được xem là cần thiết nhưng kém hơn trong xã hội nào?","Haredi"
"Tiêu hoá hoá học là gì?","enzyme phân huỷ thức ăn thành các phân tử nhỏ mà cơ thể có thể sử dụng"
"Tại sao Euornithes có nghĩa là ""những con chim thực sự?""","bởi vì chúng bao gồm tổ tiên của các loài chim hiện đại"
"Tên gọi khác của trường Nghệ thuật và Thiết kế New Englans là gì","Đại học Suffol"
"Ai đã uỷ thác việc thay đổi kiểu chữ của Thời báo năm 1931?","Stanley Morison"
"Điện áp ""thấp"" được sử dụng bởi tàu hoả có an toàn cho người dân không?","gây chết người"
"Mt. Smolikas?","8,652 ft"
"Doris Leuthard là ai?","Bộ trưởng Năng lượng"
"Cửa hàng bách hoá nào của Pháp là một phần của cùng một nhóm với Galeries Lafayette?","BHV (Bazar de l'Hotel de Ville)"
"Trường hợp cơ sở công nghiệp lớn xuất hiện ở Bắc Carolina?","phía tây của vùng Piemonte"
"Khái niệm 1080i25 hoặc 1080i50 xác định định dạng quét xen kẽ với bao nhiêu khung hình mỗi giây?","25"
"Làm thế nào là một hội đồng chỉ tổ chức chạy?","tự chọn và tư cách thành viên có quyền hạn được giới hạn bởi những người được uỷ quyền bởi hội đồng"
"Nghị sĩ cấp tiến nào đã phản đối Victoria được Gladstone bổ nhiệm vào nội các?","Henry Labouchere"
"Dự luật Nội quy đầu tiên sẽ giúp Ireland tự chủ ít hơn so với lãnh thổ nào khác?","Canada"
"Có phải năm câu lạc bộ nghĩ rằng đây là một ý tưởng tốt?","Năm câu lạc bộ quyết định đó là một ý tưởng tốt và quyết định tiếp tục với nó"
"Incursion đầu tiên do Jackson dẫn đầu là gì","Cuộc chiến tranh đầu tiên"
"Nhà thám hiểm thu thập được 3 phép đo nào?","mức độ bức xạ và tia vũ trụ, nhiệt độ trong tàu vũ trụ và tần suất va chạm với thiên thạch micromet"
"Augustus đã được ban cho bao nhiêu chức tư tế?","số chưa từng có"
"Việc sử dụng chính của IRENE là gì?","lấy thông tin"
"Những thuật ngữ được sử dụng trong việc mô tả ham muốn tình dục?","Androphilia và gynephilia (hoặc gynecophilia"
"Ổ đĩa cứng là loại thiết bị ngoại vi nào?","đầu vào và đầu ra"
"Chế độ chính phủ nào mà người vô chính phủ thích?","chủ nghĩa liên bang hoặc chủ nghĩa tự nguyện"
"Tuyến đường phía tây 34 dẫn đến thành phố nào?","Derby"
"Đâu là căn cứ thuỷ phi cơ bận rộn nhất thế giới?","Lake Hood"
"Làm thế nào để người gửi và người nhận được kết nối trong một hình thức mô hình truyền thông phức tạp hơn một chút?","đối ứng"
"Những loại thuốc cũng có thể kích hoạt hen suyễn?","thuốc như aspirin và th"
"Trong mùa nào, American Idol đã trở thành chương trình được đánh giá cao nhất trên tất cả các nhân khẩu học?","mùa bốn"
"Những cuộc nói chuyện trên đài phát thanh ""Những người bị lãng quên"" của Menzies so với là gì?","""trò chuyện bên lề"" của Franklin D. Roosevelt"
"Khi nào người cuối cùng bị xử tử ở Quận Columbia?","1957"
"Canada Rangers thực hiện những gì?","cung cấp dịch vụ giám sát và tuần tra"
"Cùng với uranyl formate, sản phẩm nào của urani được sử dụng trong kính hiển vi điện tử truyền qua?","Uranyl acetate"
"Ngày Nữ hoàng Victorias qua đời là ngày nào?","22 tháng 1 năm 1901"
"Sự kiện nào bắt đầu năm lãnh sự?","lãnh sự đầu tiên vào văn phòng"
"Khi nào bảy công ty bắt đầu phát triển USB?","1994"
"Những cân nhắc nào khác được đưa vào hiến pháp của Bangladesh liên quan đến thủ tướng?","quá trình bổ nhiệm và bãi nhiệm"
"Amphetamine được thử nghiệm lần đầu tiên ở bệnh nhân hen suyễn vào năm nào?","1929"
"Vào ngày nào Công tước William II của Normandy trở thành Vua Anh?","Ngày Giáng sinh 1066"
"Đội bóng rổ Anh nào gọi Plymouth về nhà?","Plymouth Raiders"
"Ai đã đưa ra lời kêu gọi người Do Thái di cư đến Vùng đất Israel?","Yehuda Halevi"
"Những con chó nhỏ hơn có xu hướng có bao nhiêu con mỗi lứa?","một đến bốn"
"Cùng với khí hậu vùng cao cận nhiệt đới, phân loại khí hậu bao gồm Kathmandu?","khí hậu cận nhiệt đới ẩm"
"Ai đã viết Doctrina Christiana en letra y lengua china?","Dominicans Tây Ban Nha ở Philippines"
"Loại suy nghĩ mới nhất là gì?","Logic Logic"
"Ai phát hiện ra M. bệnh lao?","Robert Koch"
"Vật liệu nào cung cấp cho các bản ghi vinyl màu đen được biết đến của họ?","carbon"
"Nền kinh tế của Alaska dựa nhiều vào điều gì?","u diesel"
"Thành phố Oklahoma bị đánh bom khi nào?","1995"
"Khi nào Apple công bố phần mềm cho phép Windows XP chạy trên máy Mac dựa trên Intel?","5 tháng 4 năm 2006"
"Lực lượng quân sự nào đã giúp Rhodes duy trì nền độc lập?","hải quân"
"Cùng với Paul Stanley, người sở hữu nụ hôn Los Angeles?","Gene Simmons"
"Trung tâm hội nghị Atlantic City mới mở cửa vào năm nào?","1997"
"Tại sao von Neumann tham gia công việc của chính phủ?","cảm thấy rằng, nếu tự do và văn minh tồn tại, thì đó phải là vì Mỹ sẽ chiến thắng chủ nghĩa toàn trị"
"Bandai đã đăng thông tin về việc khởi động lại trên trang web của mình vào năm nào?","2011"
"Ai đã sản xuất What Opera, Doc?","Warner Bros"
"Nghệ sĩ nào ở Detroit có doanh số hip-hop cao nhất?","Eminem"
"Beyond the Mat xuất hiện khi nào?","1999"
"Ai là người sáng lập Rome mà một số học giả thấy mối liên hệ mạnh mẽ với Aeneas?","Augustus"
"Blockbuster đã làm gì thay vì sử dụng các tập sách hướng dẫn có bản quyền?","đã đưa ra các hướng dẫn ngắn của riêng họ"
"Một nhóm khủng bố nổi bật, cụ thể được nhắm đến bởi Cuộc chiến chống khủng bố là gì?","al-Qaeda"
"Các nhà phân tích dự đoán thị trường sẽ tăng gấp ba vào năm nào?","2030"
"Tổ chức Phật giáo Nhật Bản nào đã xây dựng một ngôi chùa Hoà bình ở New Delhi vào năm 2007?","Nipponzan Myohoji"
"Ở nước nào là vấn đề vi phạm kỹ thuật số xã hội?","Trung Quốc"
"Ba nguyên tắc mỗi kế hoạch nên xem xét là gì?","độ cứng, hàng hoá và niềm vui."
"Trên đường cao tốc nào Umar bin Abdul-Aziz đã xây dựng caravanserais?","Khurasan"
"Quần đảo Sentinelese và Andaman ở đâu?","Ấn Độ Dương"
"Có bao nhiêu người bị ảnh hưởng bởi hạn hán năm 2013?","6"
"VidZone bắt đầu dịch vụ miễn phí tới một số quốc gia vào tháng mấy năm 2009?","tháng 6"
"Trường hợp âm nhạc systhpop, công nghiệp và tân tâm lý bắt nguồn từ đâu?","Post-punk"
"Anh em bắt nguồn từ giáo phái nào?","Anh giáo"
"Ai là người có công trong việc tạo ra hệ thống phim và đồng hồ?","William Nelson Goodwin, Jr."
"Ông gọi cái gì là sự hợp nhất của các lực lượng kinh tế, chính trị và công nghệ đã thúc đẩy ngành công nghiệp âm nhạc?","bong bóng hoàn hảo"
"Chỉ số được công bố vào ngày 18 tháng 12 năm 2008 là gì?","Báo cáo Phát triển Con người đi kèm"
"Mục đích chính của giáo dục trong giai đoạn này là gì?","đào tạo giáo sĩ tương lai"
"Làm thế nào là lao động thường được chia trong các nhóm này?","bộ phận tình dục"
"Tổng số tiền của gói giải cứu được trao cho Hy Lạp là bao nhiêu?","€ 110 tỷ"
"Galleria lớn nhất ở Texas là gì?","lớn nhất Texas"
"Boardwalk Hall năm nào đã hoàn thành?","1924"
"Thất bại lớn nhất của Mỹ trong Cách mạng Mỹ là gì?","Cuộc bao vây Charles Towne"
"Hy Lạp có bằng chứng về người thời đồ đá trong khoảng thời gian nào?","thiên niên kỷ thứ 7 trước Công nguyên"
"Tập của chương trình The Tonight Show with Jay Leno nơi Schwarzenegger tuyên bố ứng cử cho Thống đốc được phát sóng vào ngày nào?","ngày 6 tháng 8 năm 2003"
"Montini đã dạy lịch sử ở đâu?","Học viện Giáo dục Ngoại giao"
"Phần nào của Dukkha đối phó với nỗi đau?","đau khổ"
"Theo Tạp chí Di truyền học người Mỹ, bao nhiêu phần trăm dân số hiện đại của người Bỉ có tổ tiên là người Do Thái thời Sephardic?","19,8%"
"""Đen theo định nghĩa"" là gì?","Moors"
"Ai đã thu âm bản hit ""giải phóng áp lực""?","Leftfield"
"Telupe losfa đã giành chiến thắng trong năm 2015?","powerlifting"
"Tên của khách sạn nằm ở góc đại lộ Illinois và lối đi có lót ván là gì?","Khách sạn Khaymore"
"Việc sử dụng nào gây thiệt hại cho công nhân đã được một số quốc gia báo cáo đang làm?","tiếp xúc với thuốc trừ sâu"
"Chế độ của Sassou đã cố gắng kiểm duyệt điều gì?","tiết lộ tham nhũng"
"Tên của con trai Philip V, người muốn mang lại độc lập Hy Lạp là gì?","Perseus"
"Feynman đã vẽ sơ đồ của mình ở đâu?","chiếc xe của mình"
"Làm thế nào mà giá vé sản xuất của Anh là kết quả của tất cả các vụ đánh bom?","tổng thể sản xuất của Anh đã tăng đều đặn trong suốt thời gian này"
"Sông San Diego đã từng chảy về đâu?","Vịnh San Diego"
"Làm thế nào các ký tự với macron và cấp tính được hiển thị?","giống hệt nhau"
"Cái gì được coi là ""trẻ sơ sinh"" ở Hoa Kỳ?","truyện tranh"
"Có bất kỳ dòng thuần chủng cho gia cầm ngày nay?","ngoại trừ Leghorn trắng, hầu hết các loài chim thương mại đều có nguồn gốc lai."
"Làm thế nào là các mục tiêu ngấm ngầm cho SAM không ManPAD?","radar tìm kiếm trên không"
"Tỷ lệ từ vựng mà Estonia đã mượn từ Đức là bao nhiêu?","gần một phần ba"
"Cô ấy mô tả Jay Z như thế nào?","cảm hứng tiếp tục"
"Một danh sách các trang web mà người dùng có thể nhấp vào để trở lại dễ dàng đã được những gì bởi người dùng?","đánh dấu"
"Cuộc cách mạng khoa học bắt đầu trong thập kỷ nào?","1620"
"Ai không hài lòng với cuộc hôn nhân thứ hai của de Melo?","Vua John V của Bồ Đào Nha"
"Mục đích của các tiếp xúc trong ổ cắm đèn là gì?","cho phép dòng điện đi qua đế đến dây tóc"
"Trong ""Người đàn ông nổi"" của Avicenna, bản chất của một người không thể là gì?","cơ thể"
"Ở trạng thái nào Whitehead tin rằng tôn giáo bắt đầu?","tính đơn độc"
"Làm thế nào anh ấy giải quyết các vấn đề với tiền tệ tiếng Anh?","thực hiện một cuộc đại tu triệt để của đồng tiền"
"Sự chính thức hoá của sự phân chia quyền lực nhỏ và quyền lực lớn là gì?","Hiệp ước Chaumont"
"Những người cổ đại nào đã được đề cập trong văn bản đầu tiên đề cập đến Bod ""Tây Tạng""?","Bautai"
"Những người đàn ông và phụ nữ được gửi đến mặt trận phía đông chống lại ý chí của họ được gọi là gì?","Malgré-nous"
"Hiện tượng bất đối xứng thời gian trong cơ học lượng tử là rất ít để giải thích loại bất đối xứng thời gian nào?","vĩ mô"
"Có bao nhiêu đội lữ đoàn đã làm cho Quân đội thu hẹp quy mô vào năm 2015?","32"
"Ứng cử viên Dân chủ nào là người đầu tiên giành được 40% phiếu bầu ở Alaska kể từ năm 1964?","Barack Obama"
